Name,Last_5_Games
 A.J. Green,"[5, 5, 21, 14, 15]"
 Aaron Gordon,"[46, 42, 41, 40, 32]"
 Aaron Holiday,"[17, 26, 11, 14, 9]"
 Aaron Nesmith,"[30, 27, 38, 43, 36]"
 Aaron Wiggins,"[16, 16, 12, 16, 18]"
 Admiral Schofield,"[4, 1, 7, 5, 6]"
 Al Horford,"[23, 34, 22, 23, 26]"
 Alec Burks,"[11, 8, 9, 3, 12]"
 Aleksej Pokusevski,"[19, 18, 26, 13, 21]"
 Alex Caruso,"[41, 34, 37, 32, 33]"
 Alex Len,"[13, 5, 11, 10, 9]"
 Alondes Williams,"[2, 1, 1, 1, 2]"
 Alperen Sengun,"[29, 32, 42, 37, 33]"
 Andre Drummond,"[5, 25, 24, 20, 17]"
 Andre Iguodala,"[None, None, None, None, None]"
 Andrew Nembhard,"[37, 32, 38, 40, 32]"
 Andrew Wiggins,"[20, 34, 30, 29, 23]"
 Anfernee Simons,"[22, 28, 39, 36, 43]"
 Anthony Davis,"[40, 42, 43, 39, 45]"
 Anthony Edwards,"[41, 43, 38, 36, 35]"
 Anthony Gill,"[17, 17, 36, 31, 21]"
 Anthony Lamb,"[None, None, None, None, None]"
 Armoni Brooks,"[3, 8, 29, 15, 4]"
 Austin Reaves,"[34, 30, 41, 33, 37]"
 Austin Rivers,"[None, None, None, None, None]"
 Avery Bradley,"[None, None, None, None, None]"
 Ayo Dosunmu,"[36, 39, 36, 36, 32]"
 Ben Simmons,"[14, 15, 21, 24, 22]"
 Blake Griffin,"[None, None, None, None, None]"
 Blake Wesley,"[30, 19, 25, 23, 18]"
 Bobby Portis,"[36, 39, 7, 44, 30]"
 Bogdan Bogdanovic,"[1, 13, 12, 25, 17]"
 Bojan Bogdanovic,"[1, 13, 12, 25, 17]"
 Bol Bol,"[None, None, None, None, None]"
 Bradley Beal,"[31, 43, 42, 37, 38]"
 Brandon Boston Jr. / B.J. Boston Jr.,"[1, 6, 3, 31, 24]"
 Brandon Clarke,"[27, 23, 20, 23, 20]"
 Brandon Ingram,"[39, 37, 33, 37, 23]"
 Brandon Knight,"[None, None, None, None, None]"
 Brodric Thomas,"[None, None, None, None, None]"
 Brook Lopez,"[31, 31, 39, 39, 29]"
 Bruce Brown,"[20, 22, 28, 20, 28]"
 Bruno Fernando,"[21, 22, 25, 21, 18]"
 C.J. McCollum,"[None, None, None, None, None]"
 Cade Cunningham,"[34, 37, 29, 29, 29]"
 Caleb Martin,"[36, 37, 38, 36, 29]"
 Cam Reddish,"[10, 14, 2, 13, 10]"
 Cameron Johnson,"[27, 22, 20, 32, 35]"
 Cameron McGriff,"[None, None, None, None, None]"
 Cameron Oliver,"[None, None, None, None, None]"
 Cameron Payne,"[16, 14, 14, 16, 3]"
 Caris LeVert,"[7, 19, 26, 29, 25]"
 Carmelo Anthony,"[None, None, None, None, None]"
 Cedi Osman,"[18, 36, 20, 19, 15]"
 Charles Bassey,"[19, 4, 15, 7, 2]"
 Chaundee Brown Jr.,"[None, None, None, None, None]"
 Chet Holmgren,"[35, 33, 29, 32, 12]"
 Chima Moneke,"[None, None, None, None, None]"
 Chimezie Metu,"[33, 35, 32, 35, 43]"
 Chris Boucher,"[31, 24, 5, 4, 11]"
 Chris Clemons,"[None, None, None, None, None]"
 Chris Duarte,"[8, 4, 4, 5, 8]"
 Chris Paul,"[23, 28, 32, 25, 36]"
 Chris Silva,"[None, None, None, None, None]"
 Christian Wood,"[16, 13, 6, 19, 10]"
 Chuma Okeke,"[4, 6, 4, 4, 2]"
 Clint Capela,"[26, 21, 37, 30, 29]"
 Coby White,"[43, 27, 37, 42, 38]"
 Cody Martin,"[32, 29, 22, 31, 28]"
 Cody Zeller,"[4, 9, 2, 3, 4]"
 Cole Anthony,"[19, 12, 15, 16, 17]"
 Cole Swider,"[2, 1, 1, 1, 2]"
 Collin Gillespie,"[3, 5, 16, 21, 19]"
 Collin Sexton,"[27, 18, 34, 29, 44]"
 Corey Kispert,"[33, 40, 36, 40, 41]"
 Cory Joseph,"[5, 13, 15, 17, 21]"
 D'Angelo Russell,"[39, 41, 24, 39, 41]"
 D.J. Wilson,"[None, None, None, None, None]"
 Daishen Nix,"[3, 1, 7, 3, 1]"
 Dalano Banton,"[39, 38, 31, 37, 34]"
 Damian Jones,"[7, 12, 2, 2, 1]"
 Damian Lillard,"[35, 45, 39, 38, 30]"
 Damyean Dotson,"[None, None, None, None, None]"
 Daniel Gafford,"[22, 19, 19, 26, 9]"
 Daniel Theis,"[4, 29, 27, 10, 17]"
 Danilo Gallinari,"[4, 21, 13, 19, 6]"
 Danny Green,"[None, None, None, None, None]"
 Danuel House Jr.,"[12, 20, 19, 29, 16]"
 Darius Bazley,"[7, 23, 23, 25, 30]"
 Darius Garland,"[43, 39, 32, 31, 32]"
 David Duke Jr.,"[None, None, None, None, None]"
 Davion Mitchell,"[22, 20, 27, 22, 28]"
 Davis Bertans,"[22, 18, 23, 24, 20]"
 Davon Reed,"[None, None, None, None, None]"
 Day'Ron Sharpe,"[11, 24, 10, 13, 9]"
 De'Aaron Fox,"[26, 41, 41, 43, 34]"
 De'Andre Hunter,"[27, 25, 47, 29, 37]"
 De'Anthony Melton,"[7, 5, 16, 9, 18]"
 DeAndre Jordan,"[9, 5, 6, 6, 10]"
 DeAndre' Bembry,"[None, None, None, None, None]"
 DeMar DeRozan,"[44, 36, 42, 40, 42]"
 DeMarcus Cousins,"[None, None, None, None, None]"
 Dean Wade,"[33, 30, 21, 20, 19]"
 Deandre Ayton,"[23, 34, 36, 35, 40]"
 Dejounte Murray,"[31, 31, 49, 36, 35]"
 Delon Wright,"[32, 29, 20, 26, 28]"
 Deni Avdija,"[31, 38, 35, 41, 39]"
 Dennis Schröder,"[36, 30, 36, 36, 21]"
 Dennis Smith Jr.,"[4, 14, 19, 10, 17]"
 Derrick Favors,"[None, None, None, None, None]"
 Derrick Jones Jr.,"[36, 30, 33, 27, 32]"
 Derrick Rose,"[6, 15, 14, 16, 16]"
 Derrick Walton Jr.,"[None, None, None, None, None]"
 Derrick White,"[29, 41, 31, 36, 33]"
 Desmond Bane,"[40, 32, 24, 37, 32]"
 Devin Booker,"[45, 42, 42, 38, 36]"
 Devin Vassell,"[45, 39, 35, 24, 38]"
 Devontae Cacok,"[None, None, None, None, None]"
 Devonte' Graham,"[19, 32, 21, 21, 35]"
 Dewayne Dedmon,"[None, None, None, None, None]"
 Dillon Brooks,"[31, 27, 33, 42, 37]"
 Domantas Sabonis,"[27, 42, 35, 34, 35]"
 Donovan Mitchell,"[42, 40, 36, 27, 36]"
 Donte DiVincenzo,"[48, 26, 28, 28, 37]"
 Dorian Finney-Smith,"[24, 36, 23, 25, 30]"
 Doug McDermott,"[2, 5, 3, 7, 18]"
 Draymond Green,"[36, 32, 21, 34, 29]"
 Drew Eubanks,"[11, 17, 9, 15, 12]"
 Duane Washington Jr.,"[None, None, None, None, None]"
 Duncan Robinson,"[17, 3, 7, 17, 15]"
 Dwight Howard,"[None, None, None, None, None]"
 Dwight Powell,"[1, 4, 3, 1, 27]"
 Dylan Windler,"[26, 4, 17, 2, 19]"
 E.J. Liddell,"[3, 3, 3, 2, 3]"
 Edmond Sumner,"[None, None, None, None, None]"
 Elijah Hughes,"[None, None, None, None, None]"
 Eric Bledsoe,"[None, None, None, None, None]"
 Eric Gordon,"[39, 34, 23, 21, 17]"
 Evan Fournier,"[17, 29, 26, 26, 3]"
 Evan Mobley,"[34, 39, 32, 22, 32]"
 Facundo Campazzo,"[None, None, None, None, None]"
 Frank Jackson,"[None, None, None, None, None]"
 Frank Ntilikina,"[10, 11, 9, 9, 4]"
 Franz Wagner,"[42, 38, 40, 30, 38]"
 Fred VanVleet,"[40, 38, 44, 37, 33]"
 Furkan Korkmaz,"[16, 6, 27, 13, 22]"
 Gabe Vincent,"[9, 17, 20, 15, 8]"
 Garrett Temple,"[25, 8, 36, 9, 34]"
 Gary Harris,"[19, 24, 21, 34, 33]"
 Gary Payton II,"[14, 16, 24, 14, 16]"
 Gary Trent Jr.,"[23, 29, 34, 35, 37]"
 George Hill,"[None, None, None, None, None]"
 Georges Niang,"[11, 17, 18, 14, 25]"
 Giannis Antetokounmpo,"[29, 39, 32, 36, 38]"
 Goga Bitadze,"[4, 6, 4, 14, 4]"
 Goran Dragic,"[None, None, None, None, None]"
 Gordon Hayward,"[4, 8, 10, 9, 22]"
 Gorgui Dieng,"[None, None, None, None, None]"
 Grayson Allen,"[17, 25, 33, 38, 23]"
 Greg Brown III,"[12, 5, 12, 9, 1]"
 Greg Monroe,"[None, None, None, None, None]"
 Hamidou Diallo,"[None, None, None, None, None]"
 Hassan Whiteside,"[None, None, None, None, None]"
 Heat,"[None, None, None, None, None]"
 Isaac Bonga,"[None, None, None, None, None]"
 Isaac Okoro,"[24, 23, 21, 16, 25]"
 Isaiah Jackson,"[10, 9, 2, 2, 18]"
 Isaiah Joe,"[14, 9, 17, 15, 10]"
 Isaiah Livers,"[16, 17, 15, 31, 22]"
 Isaiah Roby,"[None, None, None, None, None]"
 Isaiah Stewart,"[17, 36, 37, 33, 34]"
 Isaiah Todd,"[None, None, None, None, None]"
 Ivica Zubac,"[37, 26, 30, 32, 33]"
 Ja Morant,"[35, 35, 35, 31, 37]"
 JaMychal Green,"[None, None, None, None, None]"
 JaVale McGee,"[8, 4, 1, 5, 1]"
 Jaden Ivey,"[27, 28, 31, 32, 31]"
 Jaden McDaniels,"[34, 30, 41, 38, 28]"
 Jaden Springer,"[8, 20, 25, 13, 1]"
 Jae Crowder,"[13, 2, 15, 12, 22]"
 Jae'Sean Tate,"[3, 8, 3, 9, 21]"
 Jake LaRavia,"[40, 43, 40, 34, 28]"
 Jakob Poeltl,"[15, 25, 29, 22, 26]"
 Jalen Brunson,"[44, 51, 44, 45, 38]"
 Jalen Duren,"[31, 28, 24, 28, 5]"
 Jalen Johnson,"[24, 34, 36, 37, 25]"
 Jalen McDaniels,"[23, 14, 16, 4, 13]"
 Jalen Smith,"[3, 13, 19, 20, 4]"
 Jalen Suggs,"[35, 39, 29, 28, 29]"
 Jamal Murray,"[41, 39, 41, 40, 39]"
 James Bouknight,"[2, 6, 2, 7, 4]"
 James Harden,"[43, 33, 40, 44, 42]"
 James Johnson,"[38, 40, 40, 41, 36]"
 Jamorko Pickett,"[None, None, None, None, None]"
 Jared Butler,"[31, 29, 22, 17, 13]"
 Jaren Jackson Jr.,"[37, 34, 26, 35, 26]"
 Jarred Vanderbilt,"[16, 26, 7, 41, 27]"
 Jarrett Allen,"[29, 24, 39, 35, 23]"
 Jarrett Culver,"[None, None, None, None, None]"
 Javonte Green,"[38, 26, 30, 31, 22]"
 Javonte Smart,"[None, None, None, None, None]"
 Jaxson Hayes,"[7, 6, 6, 4, 12]"
 Jay Scrubb,"[None, None, None, None, None]"
 Jaylen Brown,"[26, 39, 33, 37, 34]"
 Jaylen Hoard,"[None, None, None, None, None]"
 Jaylen Nowell,"[8, 10, 19, 20, 8]"
 Jayson Tatum,"[32, 37, 39, 41, 41]"
 Jeff Green,"[12, 17, 22, 17, 17]"
 Jerami Grant,"[36, 40, 15, 33, 40]"
 Jeremiah Robinson-Earl,"[5, 2, 7, 2, 2]"
 Jeremy Lamb,"[None, None, None, None, None]"
 Jeremy Sochan,"[17, 36, 36, 21, 31]"
 Jimmy Butler,"[24, 29, 36, 44, 39]"
 Jock Landale,"[21, 32, 27, 23, 16]"
 Joe Harris,"[12, 5, 6, 9, 7]"
 Joe Ingles,"[8, 10, 5, 10, 14]"
 Joe Wieskamp,"[None, None, None, None, None]"
 Joel Embiid,"[40, 48, 44, 41, 39]"
 John Konchar,"[33, 33, 35, 25, 34]"
 Johnny Juzang,"[19, 23, 24, 32, 33]"
 Jonas Valanciunas,"[26, 12, 23, 29, 7]"
 Jonathan Kuminga,"[23, 34, 21, 27, 32]"
 Jordan Clarkson,"[33, 34, 28, 34, 36]"
 Jordan McLaughlin,"[2, 3, 8, 15, 10]"
 Jordan Nwora,"[21, 4, 18, 19, 12]"
 Jose Alvarado,"[15, 11, 17, 19, 21]"
 Josh Giddey,"[29, 31, 26, 20, 20]"
 Josh Green,"[21, 18, 13, 25, 14]"
 Josh Hart,"[46, 53, 46, 43, 48]"
 Josh Jackson,"[None, None, None, None, None]"
 Josh Okogie,"[14, 9, 2, 4, 5]"
 Josh Richardson,"[7, 26, 27, 33, 25]"
 Joshua Primo,"[None, None, None, None, None]"
 Jrue Holiday,"[34, 38, 35, 37, 33]"
 Juan Toscano-Anderson,"[3, 17, 14, 0, 0]"
 Julius Randle,"[32, 30, 37, 32, 39]"
 Justin Anderson,"[None, None, None, None, None]"
 Justin Champagnie,"[21, 17, 14, 13, 19]"
 Justin Holiday,"[4, 5, 8, 13, 6]"
 Justise Winslow,"[None, None, None, None, None]"
 Jusuf Nurkic,"[20, 26, 31, 27, 20]"
 Juwan Morgan,"[None, None, None, None, None]"
 Kai Jones,"[None, None, None, None, None]"
 Karl-Anthony Towns,"[39, 24, 24, 27, 29]"
 Kawhi Leonard,"[25, 35, 37, 38, 36]"
 Keegan Murray,"[27, 43, 36, 38, 38]"
 Keita Bates-Diop,"[2, 5, 4, 2, 3]"
 Keldon Johnson,"[24, 35, 31, 24, 29]"
 Kelly Olynyk,"[22, 25, 34, 35, 33]"
 Kelly Oubre Jr.,"[43, 39, 40, 38, 26]"
 Kemba Walker,"[None, None, None, None, None]"
 Kendall Brown,"[2, 1, 10, 2, 7]"
 Kenrich Williams,"[2, 2, 3, 9, 21]"
 Kentavious Caldwell-Pope,"[33, 40, 35, 35, 37]"
 Keon Johnson,"[10, 4, 12, 14, 21]"
 Kevin Durant,"[46, 42, 41, 39, 38]"
 Kevin Huerter,"[2, 16, 25, 25, 16]"
 Kevin Love,"[3, 6, 4, 6, 13]"
 Kevin Porter Jr.,"[None, None, None, None, None]"
 Khem Birch,"[None, None, None, None, None]"
 Khris Middleton,"[38, 40, 40, 41, 36]"
 Killian Hayes,"[28, 14, 10, 27, 16]"
 Killian Tillie,"[None, None, None, None, None]"
 Kira Lewis Jr.,"[28, 16, 17, 6, 1]"
 Klay Thompson,"[20, 38, 33, 28, 33]"
 Kris Dunn,"[24, 23, 27, 22, 6]"
 Kristaps Porzingis,"[14, 27, 30, 34, 25]"
 Kyle Anderson,"[17, 8, 5, 18, 16]"
 Kyle Kuzma,"[39, 37, 44, 34, 37]"
 Kyle Lowry,"[13, 26, 33, 31, 34]"
 Kyrie Irving,"[42, 35, 45, 37, 42]"
 LaMarcus Aldridge,"[None, None, None, None, None]"
 LaMelo Ball,"[23, 32, 35, 32, 31]"
 Lamar Stevens,"[37, 28, 24, 23, 21]"
 Lance Stephenson,"[None, None, None, None, None]"
 Landry Shamet,"[7, 16, 18, 17, 16]"
 Langston Galloway,"[None, None, None, None, None]"
 Larry Nance Jr.,"[21, 29, 14, 19, 31]"
 Lauri Markkanen,"[42, 34, 36, 31, 41]"
 LeBron James,"[44, 39, 42, 38, 41]"
 Leandro Bolmaro,"[None, None, None, None, None]"
 Lindell Wigginton,"[None, None, None, None, None]"
 Lonnie Walker IV,"[29, 33, 25, 11, 20]"
 Lonzo Ball,"[None, None, None, None, None]"
 Luca Vildoza,"[None, None, None, None, None]"
 Luguentz Dort,"[36, 39, 31, 35, 12]"
 Luka Doncic,"[43, 39, 45, 40, 46]"
 Luka Garza,"[0, 2, 3, 5, 3]"
 Luke Kennard,"[27, 36, 30, 30, 27]"
 Luke Kornet,"[18, 3, 5, 27, 25]"
 Malachi Flynn,"[20, 16, 15, 21, 15]"
 Malaki Branham,"[20, 28, 44, 34, 37]"
 Malcolm Brogdon,"[36, 36, 32, 38, 41]"
 Malik Beasley,"[23, 28, 34, 7, 10]"
 Malik Fitts,"[None, None, None, None, None]"
 Malik Monk,"[1, 27, 26, 22, 29]"
 MarJon Beauchamp,"[3, 1, 2, 4, 7]"
 Marcus Garrett,"[None, None, None, None, None]"
 Marcus Morris,"[27, 26, 6, 9, 19]"
 Marcus Smart,"[21, 38, 39, 33, 30]"
 Mark Williams,"[20, 29, 32, 25, 22]"
 Markelle Fultz,"[23, 15, 19, 17, 6]"
 Markieff Morris,"[24, 14, 2, 4, 2]"
 Markus Howard,"[None, None, None, None, None]"
 Marquese Chriss,"[None, None, None, None, None]"
 Marvin Bagley III,"[9, 26, 27, 25, 17]"
 Matisse Thybulle,"[7, 5, 21, 32, 22]"
 Matt Mooney,"[None, None, None, None, None]"
 Matt Thomas,"[None, None, None, None, None]"
 Max Christie,"[2, 2, 5, 2, 4]"
 Max Strus,"[39, 40, 30, 24, 37]"
 McKinley Wright IV,"[None, None, None, None, None]"
 Michael Porter Jr.,"[46, 40, 35, 38, 38]"
 Mike Muscala,"[18, 4, 15, 1, 7]"
 Miles McBride,"[9, 33, 27, 22, 21]"
 Mitchell Robinson,"[18, 25, 12, 18, 30]"
 Miye Oni,"[None, None, None, None, None]"
 Monte Morris,"[9, 11, 10, 6, 6]"
 Moses Moody,"[17, 19, 21, 2, 26]"
 Moussa Diabate,"[7, 3, 1, 5, 4]"
 Myles Turner,"[23, 31, 38, 42, 34]"
 Naji Marshall,"[22, 21, 25, 16, 4]"
 Nassir Little,"[7, 0, 2, 4, 5]"
 Nate Hinton,"[14, 1, 1, 1, 15]"
 Naz Reid,"[20, 18, 17, 19, 20]"
 Neemias Queta,"[20, 18, 3, 8, 2]"
 Nemanja Bjelica,"[None, None, None, None, None]"
 Nerlens Noel,"[None, None, None, None, None]"
 Nick Richards,"[19, 20, 18, 25, 31]"
 Nicolas Batum,"[28, 33, 21, 29, 33]"
 Nik Stauskas,"[None, None, None, None, None]"
 Nikola Jokic,"[41, 41, 39, 41, 39]"
 Nikola Vucevic,"[42, 37, 39, 31, 32]"
 Norman Powell,"[36, 24, 32, 30, 26]"
 Norvel Pelle,"[None, None, None, None, None]"
 Obi Toppin,"[24, 23, 17, 17, 21]"
 Olivier Sarr,"[4, 4, 1, 8, 8]"
 Omer Yurtseven,"[30, 13, 19, 37, 19]"
 Onyeka Okongwu,"[19, 19, 33, 32, 34]"
 Oshae Brissett,"[5, 1, 16, 15, 7]"
 Otto Porter Jr.,"[8, 8, 13, 15, 6]"
 Ousmane Dieng,"[3, 18, 5, 4, 12]"
 P.J. Tucker,"[20, 10, 8, 21, 23]"
 P.J. Washington,"[35, 30, 41, 34, 35]"
 Paolo Banchero,"[42, 38, 29, 29, 41]"
 Pascal Siakam,"[35, 34, 40, 42, 37]"
 Pat Connaughton,"[16, 32, 22, 13, 19]"
 Patrick Baldwin Jr.,"[33, 41, 38, 33, 7]"
 Patrick Beverley,"[40, 36, 21, 42, 34]"
 Paul George,"[42, 33, 43, 30, 37]"
 Paul Millsap,"[None, None, None, None, None]"
 Paul Reed,"[8, 4, 4, 7, 9]"
 Payton Pritchard,"[27, 18, 25, 20, 24]"
 Petr Cornelie,"[None, None, None, None, None]"
 Peyton Watson,"[5, 13, 16, 12, 14]"
 Precious Achiuwa,"[20, 10, 19, 8, 16]"
 Quentin Grimes,"[15, 21, 14, 14, 24]"
 Quinndary Weatherspoon,"[None, None, None, None, None]"
 R.J. Hampton,"[2, 1, 12, 8, 25]"
 Rajon Rondo,"[None, None, None, None, None]"
 Reggie Bullock,"[6, 7, 5, 9, 23]"
 Reggie Perry,"[None, None, None, None, None]"
 Richaun Holmes,"[12, 31, 28, 29, 26]"
 Ricky Rubio,"[None, None, None, None, None]"
 Rob Edwards,"[None, None, None, None, None]"
 Robert Covington,"[5, 16, 11, 24, 15]"
 Robert Woodard II,"[None, None, None, None, None]"
 Robin Lopez,"[18, 4, 4, 5, 1]"
 Rodney Hood,"[None, None, None, None, None]"
 Rodney McGruder,"[None, None, None, None, None]"
 Romeo Langford,"[None, None, None, None, None]"
 Royce O'Neale,"[37, 24, 17, 26, 23]"
 Rudy Gay,"[None, None, None, None, None]"
 Rudy Gobert,"[25, 38, 39, 37, 32]"
 Rui Hachimura,"[34, 22, 28, 38, 31]"
 Russell Westbrook,"[9, 16, 22, 19, 24]"
 Ryan Arcidiacono,"[0, 2, 1, 5, 3]"
 Saddiq Bey,"[27, 37, 41, 36, 35]"
 Sam Hauser,"[20, 16, 20, 15, 14]"
 Sandro Mamukelashvili,"[26, 30, 26, 26, 24]"
 Santi Aldama,"[23, 27, 31, 34, 34]"
 Scottie Barnes,"[16, 39, 38, 37, 31]"
 Scotty Hopson,"[None, None, None, None, None]"
 Sekou Doumbouya,"[None, None, None, None, None]"
 Serge Ibaka,"[None, None, None, None, None]"
 Seth Curry,"[23, 16, 20, 25, 19]"
 Shai Gilgeous-Alexander,"[40, 37, 35, 39, 16]"
 Shake Milton,"[1, 6, 10, 5, 4]"
 Skylar Mays,"[2, 2, 2, 1, 5]"
 Spencer Dinwiddie,"[14, 14, 22, 10, 13]"
 Stephen Curry,"[32, 36, 32, 35, 31]"
 Sterling Brown,"[None, None, None, None, None]"
 Steven Adams,"[None, None, None, None, None]"
 T.J. McConnell,"[23, 16, 18, 16, 17]"
 T.J. Warren,"[2, 3, 1, 4, 14]"
 Taj Gibson,"[8, 12, 9, 11, 9]"
 Talen Horton-Tucker,"[29, 29, 32, 26, 13]"
 Taurean Prince,"[19, 29, 20, 22, 20]"
 Terance Mann,"[39, 32, 35, 23, 21]"
 Terence Davis,"[None, None, None, None, None]"
 Terrence Ross,"[None, None, None, None, None]"
 Terry Rozier,"[22, 25, 33, 35, 35]"
 Terry Taylor,"[10, 1, 2, 1, 2]"
 Thaddeus Young,"[4, 9, 13, 8, 3]"
 Thanasis Antetokounmpo,"[3, 2, 7, 7, 3]"
 Theo Pinson,"[None, None, None, None, None]"
 Thomas Bryant,"[12, 6, 23, 10, 22]"
 Tim Hardaway Jr.,"[6, 16, 20, 16, 18]"
 Tobias Harris,"[29, 49, 34, 33, 41]"
 Tomas Satoransky,"[None, None, None, None, None]"
 Torrey Craig,"[17, 34, 10, 15, 19]"
 Trae Young,"[32, 27, 21, 35, 34]"
 Tre Jones,"[25, 39, 28, 32, 49]"
 Tre Mann,"[24, 31, 37, 35, 33]"
 Tremont Waters,"[None, None, None, None, None]"
 Trendon Watford,"[38, 38, 16, 33, 16]"
 Trent Forrest,"[6, 20, 6, 6, 16]"
 Trevelin Queen,"[2, 8, 2, 5, 14]"
 Trey Burke,"[None, None, None, None, None]"
 Trey Lyles,"[19, 15, 15, 22, 29]"
 Trey Murphy III,"[43, 44, 38, 44, 32]"
 Tristan Thompson,"[12, 9, 6, 10, 12]"
 Troy Brown Jr.,"[11, 26, 36, 23, 34]"
 Ty Jerome,"[None, None, None, None, None]"
 TyTy Washington Jr.,"[7, 14, 3, 0, 1]"
 Tyler Cook,"[None, None, None, None, None]"
 Tyler Herro,"[35, 44, 33, 39, 34]"
 Tyrell Terry,"[None, None, None, None, None]"
 Tyrese Haliburton,"[32, 34, 32, 46, 37]"
 Tyrese Maxey,"[43, 52, 43, 41, 44]"
 Tyus Jones,"[31, 34, 38, 22, 27]"
 Udoka Azubuike,"[4, 1, 4, 1, 11]"
 Udonis Haslem,"[None, None, None, None, None]"
 Usman Garuba,"[5, 2, 3, 2, 4]"
 Vernon Carey Jr.,"[None, None, None, None, None]"
 Victor Oladipo,"[None, None, None, None, None]"
 Vince Williams Jr.,"[37, 37, 34, 38, 29]"
 Vit Krejci,"[22, 8, 33, 32, 25]"
 Vlatko Cancar,"[None, None, None, None, None]"
 Walker Kessler,"[9, 32, 18, 22, 17]"
 Wayne Ellington,"[None, None, None, None, None]"
 Wendell Carter Jr.,"[36, 33, 24, 25, 18]"
 Wenyen Gabriel,"[14, 16, 17, 21, 13]"
 Will Barton,"[None, None, None, None, None]"
 Xavier Moon,"[46, 17, 16, 1, 2]"
 Xavier Tillman,"[7, 6, 13, 6, 18]"
 Yuta Watanabe,"[17, 7, 22, 11, 25]"
 Yves Pons,"[None, None, None, None, None]"
 Zach Collins,"[16, 21, 26, 18, 15]"
 Zach LaVine,"[24, 35, 36, 35, 41]"
 Zeke Nnaji,"[17, 9, 2, 12, 14]"
 Ziaire Williams,"[34, 26, 36, 25, 30]"
 Zion Williamson,"[34, 37, 31, 33, 40]"
